Avis,Avis_clean,Langue,platform,brand,Titre de l'avis,Date,Date_str
"This was my first Croque Monsieur of the trip and I was super excited, but it was burnt on one half and was open-faced, which was a bummer. Coffees were good, service was friendly. A lot of the indoor tables, including the one we were at, are so close together they need to be pushed away from the booths on the wall to let out the person on the booth. This was kind of awkward when my husband was in the bathroom and I was trying to get up, but the staff jumps in to help pretty quickly. There are a lot of little cafes in Paris, so I probably wouldn't return to this one, but maybe other menu items are better.","This was my first Croque Monsieur of the trip and I was super excited, but it was burnt on one half and was open-faced, which was a bummer. Coffees were good, service was friendly. A lot of the indoor tables, including the one we were at, are so close together they need to be pushed away from the booths on the wall to let out the person on the booth. This was kind of awkward when my husband was in the bathroom and I was trying to get up, but the staff jumps in to help pretty quickly. There are a lot of little cafes in Paris, so I probably wouldn't return to this one, but maybe other menu items are better.",en,Yelp,Le Petit Cler,,,
"An adorable spot on such a lovely street. This was our first stop upon arriving in Paris. We got a little table on the patio, and enjoyed a latte, glass of Bordeaux and Cote de Rhône,  French onion soup and raspberry tart between the 3  of us. Prices were reasonable, and there seemed to be locals and tourists, but they offered us menus in English. Would love to return!","An adorable spot on such a lovely street. This was our first stop upon arriving in Paris. We got a little table on the patio, and enjoyed a latte, glass of Bordeaux and Cote de Rhône, French onion soup and raspberry tart between the 3 of us. Prices were reasonable, and there seemed to be locals and tourists, but they offered us menus in English. Would love to return!",en,Yelp,Le Petit Cler,,,
Great neighborhood restaurant! Friendly service and I'd recommend the dish of the day - I had the chicken on a Sunday evening and so did about 75% of the other diners. :) It was delicious. Prices were very reasonable too.,Great neighborhood restaurant! Friendly service and I'd recommend the dish of the day - I had the chicken on a Sunday evening and so did about 75% of the other diners. :) It was delicious. Prices were very reasonable too.,en,Yelp,Le Petit Cler,,,
"Recommended by out hotel.  We walked along this gourmet food street.  Many gourmet shops & restaurants presented beautiful foods to those strolling past.  The street is closed to traffic, there were many tables & chairs outside.  There was WiFi, great service, very reasonable prices & a warm inviting setting.  The restaurant was quiet at 6:30 and by 7:00 every table was taken. Disappointed today's special is sold out.  I ordered country pate & my husband a flank steak.  We were both pleased with our choices.  My pate was fresh & tasty.  My husband's steak was cooked to perfection & was lean & juicy. He enjoyed his salad & baked potato as well.","Recommended by out hotel. We walked along this gourmet food street. Many gourmet shops & restaurants presented beautiful foods to those strolling past. The street is closed to traffic, there were many tables & chairs outside. There was WiFi, great service, very reasonable prices & a warm inviting setting. The restaurant was quiet at 6:30 and by 7:00 every table was taken. Disappointed today's special is sold out. I ordered country pate & my husband a flank steak. We were both pleased with our choices. My pate was fresh & tasty. My husband's steak was cooked to perfection & was lean & juicy. He enjoyed his salad & baked potato as well.",en,Yelp,Le Petit Cler,,,
"Great food and atmosphere. Wait staff were very friendly. Food was wonderful, we had escargot, onion soup, croq monsuir and a highly recommended pistachio dessert.","Great food and atmosphere. Wait staff were very friendly. Food was wonderful, we had escargot, onion soup, croq monsuir and a highly recommended pistachio dessert.",en,Yelp,Le Petit Cler,,,
"The service was just mediocre. The French onion soup, which the waiter recommended was the worst I've ever had. The onions were not caramelized at all so the broth was a light yellowish color rather than a rich brown bouillon. It had an acrid onion flavor rather than a sweet and rich oniony flavor. The cheese and crouton were fine. The Beef Bourguignon was full of unrendered fat. The flavor was nice, as was the pasta it was on. But there were pork belly pieces in it, too, and no vegetables. Definitely different, and not in a good way. The atmosphere was generic, nothing special. I would definitely skip this place.","The service was just mediocre. The French onion soup, which the waiter recommended was the worst I've ever had. The onions were not caramelized at all so the broth was a light yellowish color rather than a rich brown bouillon. It had an acrid onion flavor rather than a sweet and rich oniony flavor. The cheese and crouton were fine. The Beef Bourguignon was full of unrendered fat. The flavor was nice, as was the pasta it was on. But there were pork belly pieces in it, too, and no vegetables. Definitely different, and not in a good way. The atmosphere was generic, nothing special. I would definitely skip this place.",en,Yelp,Le Petit Cler,,,
"Saw that this place was known for their croque monsieur so we decided to try it. We arrived on a weekday at 1pm and luckily got seated immediately. Our waiter was friendly and also spoke english and gave us an english menu. Tried the special of the day which was a lasagna, the french onion soup, and the croque monsieur. The french onion soup was probably the best I've ever had with its nice broth and sweet onions. The croque monsieur was hot and the bread had a nice crispy intro bite into the cheese. The lasagna was also received praise around the whole table, with its tomato sauce not being too sour. Overall, super glad we went here. It was actually one of my favorite places during my whole trip.","Saw that this place was known for their croque monsieur so we decided to try it. We arrived on a weekday at 1pm and luckily got seated immediately. Our waiter was friendly and also spoke english and gave us an english menu. Tried the special of the day which was a lasagna, the french onion soup, and the croque monsieur. The french onion soup was probably the best I've ever had with its nice broth and sweet onions. The croque monsieur was hot and the bread had a nice crispy intro bite into the cheese. The lasagna was also received praise around the whole table, with its tomato sauce not being too sour. Overall, super glad we went here. It was actually one of my favorite places during my whole trip.",en,Yelp,Le Petit Cler,,,
"Lovely little bistro on Rue Cler with charming classic decor and great food.  I got the duck confit, which was heavenly -- meat was fall-off-the-bone tender.  My wife and daughter both got the Italian salad and enjoyed it greatly.  Service was friendly and attentive.  This was one of my favorite meals during our Paris trip -- my mouth is actually watering right now as I look at the photo I'm attaching!","Lovely little bistro on Rue Cler with charming classic decor and great food. I got the duck confit, which was heavenly -- meat was fall-off-the-bone tender. My wife and daughter both got the Italian salad and enjoyed it greatly. Service was friendly and attentive. This was one of my favorite meals during our Paris trip -- my mouth is actually watering right now as I look at the photo I'm attaching!",en,Yelp,Le Petit Cler,,,
"My first meal in Paris, and I was excited for the croque madame, the ham and cheese toast with egg on top. I was happily eating until I realized the whole toast was burnt on the bottom. Each bite tasted burnt. We had escargots as well which was good, but was very disappointed by our burnt croque madames. We asked if it was supposed to be burnt and they said they can't control the temp of the oven to check if it's burnt.","My first meal in Paris, and I was excited for the croque madame, the ham and cheese toast with egg on top. I was happily eating until I realized the whole toast was burnt on the bottom. Each bite tasted burnt. We had escargots as well which was good, but was very disappointed by our burnt croque madames. We asked if it was supposed to be burnt and they said they can't control the temp of the oven to check if it's burnt.",en,Yelp,Le Petit Cler,,,
"We ordered: lemonade, coke, duck confit(special), beef Bourguignon, 3 cheese assortment, and creme brulee. Total came to about 73 euros/78 USD. my only complaint would be my wife's pasta and it's sauce was a bit 'meh', everything else was fantastic; the duck was crispy and moist, the beef was extremely tender and flavorful, the cheeses were excellent and far better than any we've had in America(and we frequently do charcuterie), and the creme brulee had a bit of a toasted marshmallow flavor to it which was awesome. Our particular server was very friendly and very attentive, I didn't catch his name but he was this way with all of his tables. Worth mentioning he spoke English well too. I would return here if I was local to try out the rest of the menu. Enjoyed it a lot.","We ordered: lemonade, coke, duck confit(special), beef Bourguignon, 3 cheese assortment, and creme brulee. Total came to about 73 euros/78 USD. my only complaint would be my wife's pasta and it's sauce was a bit 'meh', everything else was fantastic; the duck was crispy and moist, the beef was extremely tender and flavorful, the cheeses were excellent and far better than any we've had in America(and we frequently do charcuterie), and the creme brulee had a bit of a toasted marshmallow flavor to it which was awesome. Our particular server was very friendly and very attentive, I didn't catch his name but he was this way with all of his tables. Worth mentioning he spoke English well too. I would return here if I was local to try out the rest of the menu. Enjoyed it a lot.",en,Yelp,Le Petit Cler,,,
Sooooo good.  My kids really enjoyed the food.  Service was excellent. We will definitely go back again.,Sooooo good. My kids really enjoyed the food. Service was excellent. We will definitely go back again.,en,Yelp,Le Petit Cler,,,
"Dinner for two, bad. Had to put salt in the onion soup! The broth was pale with no flavor. The beef Bourguignon was two pieces of grizzle, the gravy was awful. My guests steak was uneatable. Escargot was good as well as the drinks. Hate to give anyone a bad review but this was so bad I made an exception. So disappointed since this was the last night in Paris after a wonderful trip.","Dinner for two, bad. Had to put salt in the onion soup! The broth was pale with no flavor. The beef Bourguignon was two pieces of grizzle, the gravy was awful. My guests steak was uneatable. Escargot was good as well as the drinks. Hate to give anyone a bad review but this was so bad I made an exception. So disappointed since this was the last night in Paris after a wonderful trip.",en,Yelp,Le Petit Cler,,,
"Great restaurant with very reasonable prices. I had a cup of onion soup, and it was the best onion soup I've ever had.","Great restaurant with very reasonable prices. I had a cup of onion soup, and it was the best onion soup I've ever had.",en,Yelp,Le Petit Cler,,,
"We picked Le Petit Cler out of a hat and were very happy with that decision.  Located on the Rue Cler, a small street crowded with street stalls offering produce, the restaurant is fairly small but nevertheless comfortable.  We dined indoors.  French onion soup and escargot preceded the ""American"" steak and desserts.  The servers were conversant in French and English and made us feel very welcome.  Next time we are in Paris, this is a definite return!","We picked Le Petit Cler out of a hat and were very happy with that decision. Located on the Rue Cler, a small street crowded with street stalls offering produce, the restaurant is fairly small but nevertheless comfortable. We dined indoors. French onion soup and escargot preceded the ""American"" steak and desserts. The servers were conversant in French and English and made us feel very welcome. Next time we are in Paris, this is a definite return!",en,Yelp,Le Petit Cler,,,
"Great experience, wonderful food, personable staff. Limited menu and our main selection was out but the waiter-recommended duck confit was perfect","Great experience, wonderful food, personable staff. Limited menu and our main selection was out but the waiter-recommended duck confit was perfect",en,Yelp,Le Petit Cler,,,
Stopped in on a super hot day and that had AIR CONDITIONING! A true oasis! I got the Croque madam after my mom told me she saw it in a French cooking show  it did not disappoint and the service was excellent,Stopped in on a super hot day and that had AIR CONDITIONING! A true oasis! I got the Croque madam after my mom told me she saw it in a French cooking show it did not disappoint and the service was excellent,en,Yelp,Le Petit Cler,,,
"Wonderful little cafe with a delicious, curated menu! Wait staff was also very friendly.","Wonderful little cafe with a delicious, curated menu! Wait staff was also very friendly.",en,Yelp,Le Petit Cler,,,
The food was delicious and the service was great! They spoke in English for us and we were super thankful! Loved the food! This place is in a cute spot and had a nice ambiance.,The food was delicious and the service was great! They spoke in English for us and we were super thankful! Loved the food! This place is in a cute spot and had a nice ambiance.,en,Yelp,Le Petit Cler,,,
We stopped here for an early lunch on the way to see the Eiffel Tower and we're seated right away. It was all locals which we enjoyed. The staff was very polite and spoke English as well. We had the French onion soup and goat cheese salad. They were good but nothing amazing. Also had a regular coffee with crème which was good. Probably wouldn't go back however.,We stopped here for an early lunch on the way to see the Eiffel Tower and we're seated right away. It was all locals which we enjoyed. The staff was very polite and spoke English as well. We had the French onion soup and goat cheese salad. They were good but nothing amazing. Also had a regular coffee with crème which was good. Probably wouldn't go back however.,en,Yelp,Le Petit Cler,,,
So yummy. Great neighborhood and ambiance. Good prices. English-speaking staff. We went twice during our stay in Paris!,So yummy. Great neighborhood and ambiance. Good prices. English-speaking staff. We went twice during our stay in Paris!,en,Yelp,Le Petit Cler,,,
Love their food! I went there twice during my trip. They have the best escargot :) service is great ambiance is good they are in great location as well.,Love their food! I went there twice during my trip. They have the best escargot :) service is great ambiance is good they are in great location as well.,en,Yelp,Le Petit Cler,,,
"On vacation and didn't want our night to end.  It was a Monday night and we started Cafe jumping.  We entered Le Petit looking for a snack for our daughter and drinks for the adults.  It was around 11pm.  Our daughter chose a backed potato.  She enjoyed it. The cafe is a cute little place.  The staff was friendly, they are open late and even serve food late.  I was hoping for more dessert options but my daughter was happy with her potato!  We enjoyed our drinks and then went on our way.","On vacation and didn't want our night to end. It was a Monday night and we started Cafe jumping. We entered Le Petit looking for a snack for our daughter and drinks for the adults. It was around 11pm. Our daughter chose a backed potato. She enjoyed it. The cafe is a cute little place. The staff was friendly, they are open late and even serve food late. I was hoping for more dessert options but my daughter was happy with her potato! We enjoyed our drinks and then went on our way.",en,Yelp,Le Petit Cler,,,
Bien trop cher pour la qualité et les portions. I will not go back there. They served a Thai salad without even chopsticks ?,Bien trop cher pour la qualité et les portions. I will not go back there. They served a Thai salad without even chopsticks ?,en,Yelp,Le Petit Cler,,,
"I ate here a couple times because it was across from our hotel.  Great food, good atmosphere, and friendly staff.  Very welcoming and accommodating to English speaking guests.  Would probably visit again on another trip to Paris.","I ate here a couple times because it was across from our hotel. Great food, good atmosphere, and friendly staff. Very welcoming and accommodating to English speaking guests. Would probably visit again on another trip to Paris.",en,Yelp,Le Petit Cler,,,
"Wanted to get a ""Parisian"" breakfast and this place delivered. It was located in the middle of a cute street and the food was great! Breakfast includes tea/coffee, juice, croissant, and an egg dish! Would recommend for a big breakfast/brunch!","Wanted to get a ""Parisian"" breakfast and this place delivered. It was located in the middle of a cute street and the food was great! Breakfast includes tea/coffee, juice, croissant, and an egg dish! Would recommend for a big breakfast/brunch!",en,Yelp,Le Petit Cler,,,
"This is really good. I had been disappointed by my first two Parisian dining experiences this trip - over priced and low quality (this is my fourth trip). Finally, a winner. Nothing super special but a solid meals for a solid price in an expensive city. We loved the Sunday dinner of chicken and potatoes, as well as the croque monsieur. Simple, well prepared, and quick. We had happy hour wine. No complaints and highly recommend. Added bonus for Americans: they serve dinner at 6pm (and before).","This is really good. I had been disappointed by my first two Parisian dining experiences this trip - over priced and low quality (this is my fourth trip). Finally, a winner. Nothing super special but a solid meals for a solid price in an expensive city. We loved the Sunday dinner of chicken and potatoes, as well as the croque monsieur. Simple, well prepared, and quick. We had happy hour wine. No complaints and highly recommend. Added bonus for Americans: they serve dinner at 6pm (and before).",en,Yelp,Le Petit Cler,,,
"Small cafe with Great food,  friendly service and a very French ambiance. New menu daily.","Small cafe with Great food, friendly service and a very French ambiance. New menu daily.",en,Yelp,Le Petit Cler,,,
Made the trek here to get my favorite croque madame. Delicious as always. The omelette is super fluffy. I really enjoyed the hot milk with honey. Great meal.,Made the trek here to get my favorite croque madame. Delicious as always. The omelette is super fluffy. I really enjoyed the hot milk with honey. Great meal.,en,Yelp,Le Petit Cler,,,
"we stopped for lunch on a sunny, winter day.   the service was prompt, and the waiter was very nice. i had the croque madame and it was delicious. there is one bathroom in the basement, so if you go at a busy time, your wait may be a while.","we stopped for lunch on a sunny, winter day. the service was prompt, and the waiter was very nice. i had the croque madame and it was delicious. there is one bathroom in the basement, so if you go at a busy time, your wait may be a while.",en,Yelp,Le Petit Cler,,,
"Located on the dynamic Rue Cler street where various cafes, restaurants, wine and cheese shops are located. Although this place is filled with several tourists, it's a good respite if one has been walking all day. During this rainy and cold day, I tried the French onion soup. Not bad, but the broth needs more I think. Tried the house steak tartare. Again it was not bad, but it didn't blow my mind. If I was in small town America, I would give this place an extra star, but this is Paris. I expected more.","Located on the dynamic Rue Cler street where various cafes, restaurants, wine and cheese shops are located. Although this place is filled with several tourists, it's a good respite if one has been walking all day. During this rainy and cold day, I tried the French onion soup. Not bad, but the broth needs more I think. Tried the house steak tartare. Again it was not bad, but it didn't blow my mind. If I was in small town America, I would give this place an extra star, but this is Paris. I expected more.",en,Yelp,Le Petit Cler,,,
"Le Petit Cler was amazing!! We found this restaurant on Yelp after visiting the Eiffel Tower. It was a bit far but it was worth the walk. We sat outside on the covered patio. It was pretty cold out that night, 30 degrees, but the patio was really cozy. Le Petit Cler does a great job with the amount of heat lamps they have outside. Le Petit Cler's staff was really amazing. They were welcoming and answered all of our questions. We ordered two red wines, the homemade Duck Foie Gras, Duck Confit, Flank Steak, & a Creme Brûlée. We started with a bottle of red wine & the home made Duck Foie Gras. The wine was really good and the price wasn't bad either. As for the Foie Gras, it was amazing!! I would recommend getting this for the table to share. For our entrees we got the Duck Confit & the Flank Steak. The Duck Confit was for sure the winner out of the two, but the steak was also really good. It's just hard to compete with a good Duck Confit. I ordered the steak medium rare. Accompanying the steak was a nice salad and wonderful potatoes. We also got another bottle of wine, which was also really good and easy on the wallet. For dessert we got the Creme Brûlée. It was a perfect ending to a delicious meal. The next time I'm in Paris I will for-sure comeback to Le Petit Cler.  If you are on the fence about trying try this place out, just do it. You won't be disappointed.","Le Petit Cler was amazing!! We found this restaurant on Yelp after visiting the Eiffel Tower. It was a bit far but it was worth the walk. We sat outside on the covered patio. It was pretty cold out that night, 30 degrees, but the patio was really cozy. Le Petit Cler does a great job with the amount of heat lamps they have outside. Le Petit Cler's staff was really amazing. They were welcoming and answered all of our questions. We ordered two red wines, the homemade Duck Foie Gras, Duck Confit, Flank Steak, & a Creme Brûlée. We started with a bottle of red wine & the home made Duck Foie Gras. The wine was really good and the price wasn't bad either. As for the Foie Gras, it was amazing!! I would recommend getting this for the table to share. For our entrees we got the Duck Confit & the Flank Steak. The Duck Confit was for sure the winner out of the two, but the steak was also really good. It's just hard to compete with a good Duck Confit. I ordered the steak medium rare. Accompanying the steak was a nice salad and wonderful potatoes. We also got another bottle of wine, which was also really good and easy on the wallet. For dessert we got the Creme Brûlée. It was a perfect ending to a delicious meal. The next time I'm in Paris I will for-sure comeback to Le Petit Cler. If you are on the fence about trying try this place out, just do it. You won't be disappointed.",en,Yelp,Le Petit Cler,,,
"First dinner in Paris! We stopped by around 6pm on a Saturday and made it just in time before the dinner rush! They have indoor seating and an outdoor wrapped patio with extra strength heaters that will keep you warm and toasty so don't be afraid to sit outside! Our server was really nice and helpful--it seemed like he was the only one in there, but was able to keep the fort down. There was an English menu so we didn't have to use google translate to figure out what we wanted to order--though I did surf through some Yelp photos before we went to the restaurant ;). We started with the full bread board which came with some prosciutto, pate and salami all topped with some pickled onions and cornichons (fermented cucumber) (our server also gave us a giant vase of cornichons and onions and we totally went overboard with them with no regrets!). The board was delicious, but it definitely made us feel very stuffed afterwards. For the main course, I ordered the flank steak which came with a side salad and your choice of a baked potato or diced potatoes. I thought the steak was cooked to perfection and I loved the little side of greens since you don't really get that when traveling :). Note: Ask for mustard!! Their mustard is smooth and spicy and pairs perfectly with the steak (or anything really!). We finished with a pear digestif to help us keep all of that food down. Overall, great service and great food! Also, the website's menu seems to be a bit outdated. For example, the Monday meal special on our menu was the beef bourguignon but the website has it as a beef skewer. Also, the daily specials are 14 pounds not 13.5! Enjoy!","First dinner in Paris! We stopped by around 6pm on a Saturday and made it just in time before the dinner rush! They have indoor seating and an outdoor wrapped patio with extra strength heaters that will keep you warm and toasty so don't be afraid to sit outside! Our server was really nice and helpful--it seemed like he was the only one in there, but was able to keep the fort down. There was an English menu so we didn't have to use google translate to figure out what we wanted to order--though I did surf through some Yelp photos before we went to the restaurant ;). We started with the full bread board which came with some prosciutto, pate and salami all topped with some pickled onions and cornichons (fermented cucumber) (our server also gave us a giant vase of cornichons and onions and we totally went overboard with them with no regrets!). The board was delicious, but it definitely made us feel very stuffed afterwards. For the main course, I ordered the flank steak which came with a side salad and your choice of a baked potato or diced potatoes. I thought the steak was cooked to perfection and I loved the little side of greens since you don't really get that when traveling :). Note: Ask for mustard!! Their mustard is smooth and spicy and pairs perfectly with the steak (or anything really!). We finished with a pear digestif to help us keep all of that food down. Overall, great service and great food! Also, the website's menu seems to be a bit outdated. For example, the Monday meal special on our menu was the beef bourguignon but the website has it as a beef skewer. Also, the daily specials are 14 pounds not 13.5! Enjoy!",en,Yelp,Le Petit Cler,,,
"Visited twice, once for dinner, and another day for breakfast.  The beef bourguignon was good, and service was great.  The 15 euro complete breakfast was hot, fresh and very tasty with croissant, fresh juice, coffee or hot chocolate with an omelet that was almost perfect in size, flavor and texture.  A definite revisit will come on our next trip to Paris!","Visited twice, once for dinner, and another day for breakfast. The beef bourguignon was good, and service was great. The 15 euro complete breakfast was hot, fresh and very tasty with croissant, fresh juice, coffee or hot chocolate with an omelet that was almost perfect in size, flavor and texture. A definite revisit will come on our next trip to Paris!",en,Yelp,Le Petit Cler,,,
"We have enjoyed this Le Petite immensely! It is right around the corner from our hotel and has been a life saver for two ladies operating on a different timezone who also like to eat before 7pm ... a challenge to find a dinner place that serves a nice dinner before 7:30.  The Pinot Nori is lovely. The duck Shepard's pie was delightful.  The service good, atmosphere nice intimate French cafe.","We have enjoyed this Le Petite immensely! It is right around the corner from our hotel and has been a life saver for two ladies operating on a different timezone who also like to eat before 7pm ... a challenge to find a dinner place that serves a nice dinner before 7:30. The Pinot Nori is lovely. The duck Shepard's pie was delightful. The service good, atmosphere nice intimate French cafe.",en,Yelp,Le Petit Cler,,,
Great place to have a daily special for a good prince. Nice service and atmosphere. Come early or you will loose your seat! Food was delicious!,Great place to have a daily special for a good prince. Nice service and atmosphere. Come early or you will loose your seat! Food was delicious!,en,Yelp,Le Petit Cler,,,
We really enjoyed our first dinner in Paris at this restaurant.  The service was great.  We sat next to another couple and they shared how much they were enjoying their dinner too.  Would go back!,We really enjoyed our first dinner in Paris at this restaurant. The service was great. We sat next to another couple and they shared how much they were enjoying their dinner too. Would go back!,en,Yelp,Le Petit Cler,,,
Friendly staff.  Delicious onion soup and croque monsieur.  Fluffy omelette and the dressing on the salad was fresh and light.  We dined inside with the air conditioning.  It was a lovely lunch.,Friendly staff. Delicious onion soup and croque monsieur. Fluffy omelette and the dressing on the salad was fresh and light. We dined inside with the air conditioning. It was a lovely lunch.,en,Yelp,Le Petit Cler,,,
